accession	strain
KX261812	EV-D68/Homosapiens/USA/MO71/2009
KX261815	EV-D68/Homosapiens/USA/MO72/2009
KX261811	EV-D68/Homosapiens/USA/MO73/2009
KX261797	EV-D68/Homosapiens/USA/MO74/2009
KX261806	EV-D68/Homosapiens/USA/MO75/2009
KX261805	EV-D68/Homosapiens/USA/MO76/2009
KX261822	EV-D68/Homosapiens/USA/MO77/2009
KX261798	EV-D68/Homosapiens/USA/MO79/2009
KX261802	EV-D68/Homosapiens/USA/MO80/2009
KX261810	EV-D68/Homosapiens/USA/MO81/2009
KX261801	EV-D68/Homosapiens/USA/MO82/2009
KX261809	EV-D68/Homosapiens/USA/MO83/2009
KX261819	EV-D68/Homosapiens/USA/MO84/2009
KX261803	EV-D68/Homosapiens/USA/MO85/2009
KX261818	EV-D68/Homosapiens/USA/MO86/2009
KX261823	EV-D68/Homosapiens/USA/MO87/2009
KX261816	EV-D68/Homosapiens/USA/MO88/2009
KX261796	EV-D68/Homosapiens/USA/MO89/2009
KX261800	EV-D68/Homosapiens/USA/MO90/2009
KX261821	EV-D68/Homosapiens/USA/MO91/2009
KX261813	EV-D68/Homosapiens/USA/MO92/2009
KX261814	EV-D68/Homosapiens/USA/MO93/2009
KX261824	EV-D68/Homosapiens/USA/MO94/2009
KX255361	EV-D68/Homosapiens/USA/O1261a/2012
KX255358	EV-D68/Homosapiens/USA/O1312a/2012
KX255401	EV-D68/Homosapiens/USA/O270a/2012
KX433156	EV-D68/Homosapiens/USA/O3797/2013
KX255394	EV-D68/Homosapiens/USA/O418a/2012
KX255381	EV-D68/Homosapiens/USA/O433a/2012
KX255384	EV-D68/Homosapiens/USA/O4413/2013
KX255406	EV-D68/Homosapiens/USA/O4415/2013
KX255368	EV-D68/Homosapiens/USA/O4417/2013
KX433165	EV-D68/Homosapiens/USA/O4444/2013
KX255387	EV-D68/Homosapiens/USA/O4445/2013
KX255398	EV-D68/Homosapiens/USA/O4446/2013
KX255365	EV-D68/Homosapiens/USA/O466a/2012
KX255380	EV-D68/Homosapiens/USA/O527a/2012
KX255369	EV-D68/Homosapiens/USA/O541a/2012
KX255386	EV-D68/Homosapiens/USA/O593a/2012
KX255404	EV-D68/Homosapiens/USA/O685a/2012
KX255377	EV-D68/Homosapiens/USA/O774a/2012
KX255414	EV-D68/Homosapiens/USA/O775a/2012
KX255383	EV-D68/Homosapiens/USA/O810a/2012
KX255359	EV-D68/Homosapiens/USA/O979a/2012
KX255396	EV-D68/Homosapiens/USA/O980a/2012
KX255366	EV-D68/Homosapiens/USA/U2215/2008
